,Number,OwnerName,Location,LocationAddress,LocationCity,LocationState,LocationZip,County,Status,NextInspectionDue,NextInspectionDueOther,MachineType,Manufacturer,UnitType,InsertedAt,LastSeen
3204,1001856,CHARLESTON CNTY SCHOOL DISTRICT,MOULTRIE MIDDLE,645 COLEMAN BLVD,MT PLEASANT,SC,29464,CHARLESTON,Active,2019-05-23 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 09:38:33.2060064 +00:00,2018-10-05 09:38:33.2059911 +00:00
3205,1001857,WAPPOO CREEK OFFICE BLDG,WAPPOO CREEK OFFICE BUILDING,125 WAPPOO CREEK DRIVE,CHARLESTON,SC,29412,CHARLESTON,Active,2019-06-20 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:33.9617331 +00:00,2018-10-05 09:38:33.9617139 +00:00
3206,1001858,NAMAN ASHLEY II DBA,STAYBRIDGE SUITES - ELEVATOR A,2465 PROSPECTIVE DRIVE,N CHARLESTON,SC,29405,CHARLESTON,Active,2018-11-07 00:00:00.0000000,,Air Operated,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:34.7057893 +00:00,2018-10-05 09:38:34.7057779 +00:00
3207,1001859,NAMAN ASHLEY II DBA,STAYBRIDGE SUITES - ELEVATOR B,2465 PROSPECT DRIVE,N CHARLESTON,SC,29405,CHARLESTON,Active,2018-11-07 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:35.4680236 +00:00,2018-10-05 09:38:35.4680117 +00:00
3208,1001860,BELLE HALL PROPERTIES,BELLE HALL GARDEN - BLDG C,1400 BELLE ISLE AVENUE,MT PLEASANT,SC,29464,CHARLESTON,Active,2019-01-08 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:36.3179612 +00:00,2018-10-05 09:38:36.3179037 +00:00
3209,1001861,1022 CAROLINA LLC,1022 CAROLINA BLVD LLC,1022 CAROLINA BLVD,ISLE OF PALMS,SC,29451,CHARLESTON,Active,2018-01-23 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:37.0810715 +00:00,2018-10-05 09:38:37.0810577 +00:00
3210,1001862,SALMONS DREDGING,SALMONS DREDGING,1884 HERBERT STREET,CHARLESTON,SC,29405,CHARLESTON,Active,2019-09-09 00:00:00.0000000,,Screw,THYSSENKRUPP ELEVATOR,Wheelchair Lift,2018-10-05 09:38:37.9226028 +00:00,2018-10-05 09:38:37.9225909 +00:00
3211,1001863,"MONTAGUE REALCO, LLC",HYATT PLACE HOTEL - ELEVATOR A,3234 W. MONTAGUE STREET,N CHARLESTON,SC,29418,CHARLESTON,Active,2018-12-08 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 09:38:38.7613628 +00:00,2018-10-05 09:38:38.7613492 +00:00
3212,1001864,"MONTAGUE REALCO, LLC",HYATT PLACE HOTEL - ELEVATOR B,3234 W. MONTAGUE STREET,N CHARLESTON,SC,29418,CHARLESTON,Active,2018-12-08 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 09:38:39.5276561 +00:00,2018-10-05 09:38:39.5276427 +00:00
3213,1001865,COLLEGE OF CHARLESTON,TD ARENA - (VPL),301 MEETING STREET,CHARLESTON,SC,29401,CHARLESTON,Active,2022-11-01 00:00:00.0000000,,Air Operated,NATL WHEEL O&#39;VATOR,Wheelchair Lift,2018-10-05 09:38:40.2949476 +00:00,2018-10-05 09:38:40.2949265 +00:00
3214,1001866,CHARLESTON CNTY SCHOOL DISTRICT,MT PLEASANT ACADEMY,605 CENTER STREET,MT PLEASANT,SC,29464,CHARLESTON,Active,2019-05-23 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:41.0813443 +00:00,2018-10-05 09:38:41.0813270 +00:00
3215,1001867,HYATT PLACE HOTEL,HYATT PLACE HOTEL,2455 PROSPECT DRIVE,N CHARLESTON,SC,29406,CHARLESTON,Active,2019-07-19 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:41.8910108 +00:00,2018-10-05 09:38:41.8909887 +00:00
3216,1001868,HYATT PLACE HOTEL,HYATT PLACE HOTEL,2455 PROSPECT DRIVE,N CHARLESTON,SC,29406,CHARLESTON,Active,2019-07-19 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:42.6695873 +00:00,2018-10-05 09:38:42.6695756 +00:00
3217,1001869,ASHLEY HALL,JENKINS HALL,172 RUTLEDGE AVENUE,CHARLESTON,SC,29403,CHARLESTON,Active,2019-01-11 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 09:38:43.4131626 +00:00,2018-10-05 09:38:43.4131475 +00:00
3218,1001870,EAST COOPER MEDICAL CENTER,EAST COOPER MEDICAL CENTER,2000 HOSPITAL DRIVE,MT PLEASANT,SC,29464,CHARLESTON,Active,2019-06-12 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTIS ELEVATOR,Passenger,2018-10-05 09:38:44.1331340 +00:00,2018-10-05 09:38:44.1330771 +00:00
3219,1001871,EAST COOPER MEDICAL CENTER,EAST COOPER MEDICAL CENTER,2000 HOSPITAL DRIVE,MT PLEASANT,SC,29464,CHARLESTON,Active,2019-06-12 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 09:38:44.8732603 +00:00,2018-10-05 09:38:44.8732295 +00:00
3220,1001872,EAST COOPER MEDICAL CENTER,EAST COOPER MEDICAL CENTER,2000 HOSPITAL DRIVE,MT PLEASANT,SC,29464,CHARLESTON,Active,2019-06-12 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTIS ELEVATOR,Passenger,2018-10-05 09:38:45.6463174 +00:00,2018-10-05 09:38:45.6462489 +00:00
3221,1001873,EAST COOPER MEDICAL CENTER,EAST COOPER MEDICAL CENTER,2000 HOSPITAL DRIVE,MT PLEASANT,SC,29464,CHARLESTON,Active,2019-06-12 00:00:00.0000000,,Air Operated,OTIS ELEVATOR,Passenger,2018-10-05 09:38:46.3990110 +00:00,2018-10-05 09:38:46.3989920 +00:00
3222,1001874,EAST COOPER MEDICAL CENTER,EAST COOPER MEDICAL CENTER,2000 HOSPITAL DRIVE,MT PLEASANT,SC,29464,CHARLESTON,Active,2019-06-12 00:00:00.0000000,,Air Operated,OTIS ELEVATOR,Passenger,2018-10-05 09:38:47.2360047 +00:00,2018-10-05 09:38:47.2359919 +00:00
3223,1001875,EAST COOPER MEDICAL CENTER,EAST COOPER MEDICAL CENTER,2000 HOSPITAL DRIVE,MT PLEASANT,SC,29464,CHARLESTON,Active,2019-06-12 00:00:00.0000000,,Air Operated,OTIS ELEVATOR,Passenger,2018-10-05 09:38:48.0603229 +00:00,2018-10-05 09:38:48.0603110 +00:00
3224,1001876,CITY OF ISLE OF PALMS,PUBLIC SAFETY COMPLEX,30 J.C. LONG BLVD,ISLE OF PALMS,SC,29451,CHARLESTON,Active,2019-05-16 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:48.8461103 +00:00,2018-10-05 09:38:48.8460974 +00:00
3225,1001877,CITY OF ISLE OF PALMS,PUBLIC SAFETY COMPLEX - ELEVATOR #2,30 J.C. LONG BLVD,ISLE OF PALMS,SC,29451,CHARLESTON,Active,2019-05-16 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:49.6209362 +00:00,2018-10-05 09:38:49.6209196 +00:00
3226,1001878,COLLEGE OF CHARLESTON,CALHOUN ANNEX,172 A CALHOUN STREET,CHARLESTON,SC,29401,CHARLESTON,Active,2019-08-23 00:00:00.0000000,,Hydraulic,OTHER,Passenger,2018-10-05 09:38:50.3699402 +00:00,2018-10-05 09:38:50.3699278 +00:00
3227,1001879,CHARLESTON CNTY SCHOOL DISTRICT,ORANGE GROVE ELEMENTARY SCHOOL,1225 ORANGE BRANCH ROAD,CHARLESTON,SC,29407,CHARLESTON,Active,2019-05-17 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:51.1444041 +00:00,2018-10-05 09:38:51.1443882 +00:00
3228,1001880,N. CHARLESTON CITY HALL,N CHARLESTON CITY HALL ELEVATOR #5,2405 MALL DRIVE,N CHARLESTON,SC,29406,CHARLESTON,Active,2019-03-22 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:51.9066606 +00:00,2018-10-05 09:38:51.9066488 +00:00
3229,1001881,CHARLESTON CNTY SCHOOL DISTRICT,ZUCKER MIDDLE SCHOOL,6401 DORCHESTER ROAD,N CHARLESTON,SC,29418,CHARLESTON,Active,2019-05-25 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:52.6525461 +00:00,2018-10-05 09:38:52.6524932 +00:00
3230,1001882,HAYKORA,HAYKORA,5935 RIVERS AVENUE,N CHARLESTON,SC,29406,CHARLESTON,Active,2021-07-28 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Wheelchair Lift,2018-10-05 09:38:53.3982786 +00:00,2018-10-05 09:38:53.3982657 +00:00
3231,1001883,COLLEGE OF CHARLESTON,PHYSICAL EDUCATION CTR,307 MEETING STREET,CHARLESTON,SC,29424,CHARLESTON,Active,2011-08-16 00:00:00.0000000,,Screw,NATL WHEEL O&#39;VATOR,Wheelchair Lift,2018-10-05 09:38:54.1410976 +00:00,2018-10-05 09:38:54.1410834 +00:00
3232,1001884,MT. PLEASANT HOSPITAL,ROPER MOUNTAIN PLEASANT HOSPITAL MOB,3500 US HWY 17 NORTH,MT PLEASANT,SC,29464,CHARLESTON,Active,2018-08-30 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:54.9047552 +00:00,2018-10-05 09:38:54.9047350 +00:00
3233,1001885,MT. PLEASANT HOSPITAL,ROPER MOUNTAIN PLEASANT HOSPITAL MOB,3500 US HWY 17 NORTH,MT PLEASANT,SC,29464,CHARLESTON,Active,2018-08-30 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:55.7507059 +00:00,2018-10-05 09:38:55.7506814 +00:00
3234,1001886,HOSPITALITY LLC,COMFORT SUITES,2080 SAVANNAH HWY,CHARLESTON,SC,29407,CHARLESTON,Active,2019-06-06 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:56.5955559 +00:00,2018-10-05 09:38:56.5955420 +00:00
3235,1001887,HOSPITALITY LLC,COMFORT SUITES - ELEVATOR #2,2080 SAVANNAH HWY,CHARLESTON,SC,29407,CHARLESTON,Active,2019-06-06 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:57.3933573 +00:00,2018-10-05 09:38:57.3933443 +00:00
3236,1001888,SEABROOK ISLAND CLUB,THE ISLAND HOUSE,3771 SEABROOK ISLAND ROAD,SEABROOK ISLAND,SC,29455,CHARLESTON,Active,2018-11-03 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:58.1442311 +00:00,2018-10-05 09:38:58.1442030 +00:00
3237,1001889,SEABROOK ISLAND CLUB,THE ISLAND HOUSE,3771 SEABROOK ISLAND ROAD,SEABROOK ISLAND,SC,29455,CHARLESTON,Active,2018-11-03 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:38:58.9303915 +00:00,2018-10-05 09:38:58.9303780 +00:00
3238,1001890,COLLEGE OF CHARLESTON,SCIENCE CENTER,202 CALHOUN STREET,CHARLESTON,SC,29424,CHARLESTON,Active,2019-08-23 00:00:00.0000000,,Hydraulic,OTHER,Passenger,2018-10-05 09:38:59.6886986 +00:00,2018-10-05 09:38:59.6886863 +00:00
3239,1001891,COLLEGE OF CHARLESTON,COLLEGE OF CHARLESTON - SCIENCE CENTER ,202 CALHOUN STREET,CHARLESTON,SC,29424,CHARLESTON,Active,2019-08-23 00:00:00.0000000,,Hydraulic,OTHER,Passenger,2018-10-05 09:39:00.4422780 +00:00,2018-10-05 09:39:00.4422662 +00:00
3240,1001892,INDIGO HALL VILLAS POA,INDIGO HALL - BLDG #1,7100 INDIGO PALMS WAY,JOHNS ISLAND,SC,29455,CHARLESTON,Active,2018-11-03 00:00:00.0000000,,Hydraulic,OTHER,Passenger,2018-10-05 09:39:01.1743240 +00:00,2018-10-05 09:39:01.1743071 +00:00
3241,1001893,INDIGO HALL VILLAS POA,INDIGO HALL - BLDG #1,7100 INDIGO PALMS WAY,JOHNS ISLAND,SC,29455,CHARLESTON,Active,2018-11-03 00:00:00.0000000,,Hydraulic,OTHER,Passenger,2018-10-05 09:39:01.9819832 +00:00,2018-10-05 09:39:01.9819694 +00:00
3242,1001894,INDIGO HALL VILLAS POA,INDIGO HALL - BLDG #1,7100 INDIGO PALMS WAY,JOHNS ISLAND,SC,29455,CHARLESTON,Active,2018-11-05 00:00:00.0000000,,Hydraulic,OTHER,Passenger,2018-10-05 09:39:02.7307799 +00:00,2018-10-05 09:39:02.7307665 +00:00
3243,1001895,CHARLESTON CNTY SCHOOL DISTRICT,HAUT GAP MIDDLE SCHOOL,1861 BOHICKET ROAD,JOHNS ISLAND,SC,29455,CHARLESTON,Active,2019-05-24 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 09:39:06.4952377 +00:00,2018-10-05 09:39:06.4952248 +00:00
3244,1001896,COLLEGE OF CHARLESTON,COLLEGE OF CHARLESTON - SCIENCE CTR,202 CALHOUN STREET,CHARLESTON,SC,29424,CHARLESTON,Active,2020-02-17 00:00:00.0000000,,Screw,THYSSENKRUPP ELEVATOR,Wheelchair Lift,2018-10-05 09:39:07.2739118 +00:00,2018-10-05 09:39:07.2738987 +00:00
3245,1001897,ASHLEY HALL,LANE HALL AT ASHLEY HALL,172 RUTLEDGE AVENUE,CHARLESTON,SC,29403,CHARLESTON,Active,2019-01-11 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:39:08.0372505 +00:00,2018-10-05 09:39:08.0372300 +00:00
3246,1001898,STONO MARINA LLC,ST JOHN YACHT HARBOR,2408 MAYBANK HWY,JOHN ISLAND,SC,29455,CHARLESTON,Active,2019-04-10 00:00:00.0000000,,Other,OTHER,Passenger,2018-10-05 09:39:08.8310256 +00:00,2018-10-05 09:39:08.8310134 +00:00
3247,1001899,STONO MARINA LLC,ST JOHN YACHT HARBOR,2408 MAYBANK HWY,JOHN ISLAND,SC,29455,CHARLESTON,Active,2019-04-10 00:00:00.0000000,,Hydraulic,OTHER,Passenger,2018-10-05 09:39:09.6411781 +00:00,2018-10-05 09:39:09.6411660 +00:00
3248,1001904,CHARLESTON CNTY SCHOOL DISTRICT,STILES POINT ELEMENTARY SCHOOL,883 MIKELL DRIVE,CHALESTON,SC,29412,CHARLESTON,Active,2019-05-24 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 09:39:10.4620852 +00:00,2018-10-05 09:39:10.4620709 +00:00
3249,1001905,COCONUT JOE&#39;S RESTAURANT,COCONUT JOE&#39;S RESTAURANT,717 OLD TROLLEY RD STE G-319,SUMMERVILLE,SC,29451,CHARLESTON,Active,2019-09-05 00:00:00.0000000,,Air Operated,OTHER,LULA,2018-10-05 09:39:11.2409659 +00:00,2018-10-05 09:39:11.2409538 +00:00
3250,1001906,MT. PLEASANT HOSPITAL,MT. PLEASANT HOSPITAL,3500 US HWY 17 NORTH,MT PLEASANT,SC,29466,CHARLESTON,Active,2019-06-30 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:39:12.0535344 +00:00,2018-10-05 09:39:12.0535055 +00:00
3251,1001907,MT. PLEASANT HOSPITAL,ROPER MT. PLEASANT HOSPITAL #6,3500 HWY 17 NORTH,MT PLEASANT,SC,29466,CHARLESTON,Active,2019-06-30 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:39:12.8401135 +00:00,2018-10-05 09:39:12.8401017 +00:00
3252,1001908,MT. PLEASANT HOSPITAL,MT. PLEASANT HOSPITAL #7,3500 US HIGHWAY 17 NORTH,MT PLEASANT,SC,29465,CHARLESTON,Active,2019-06-30 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:39:13.5832501 +00:00,2018-10-05 09:39:13.5832351 +00:00
3253,1001909,KVH HOSPITALITY GROUP LLC,HOLIDAY INN EXPRESS,350 JOHNNIE DODDS BLVD,MT PLEASANT,SC,39464,CHARLESTON,Active,2018-07-11 00:00:00.0000000,,Hydraulic,AMER STAIR GLIDE,Passenger,2018-10-05 09:39:14.3459518 +00:00,2018-10-05 09:39:14.3459398 +00:00
3254,1001910,KVH HOSPITALITY GROUP LLC,HOLIDAY INN EXPRESS,350 JOHNNIE DODDS BLVD,MT PLEASANT,SC,29464,CHARLESTON,Active,2018-07-11 00:00:00.0000000,,Air Operated,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:39:15.1029431 +00:00,2018-10-05 09:39:15.1029310 +00:00
3255,1001912,CHARLESTON CTY AVIATION AUTH.,CHARLESTON AIRPORT - A CONCORD,5500 INTERNATIONAL BLVD,CHARLESTON,SC,29418,CHARLESTON,Active,2019-06-27 00:00:00.0000000,,Hydraulic,OTHER,Passenger,2018-10-05 09:39:15.8477071 +00:00,2018-10-05 09:39:15.8476956 +00:00
3256,1001913,CHARLESTON CTY AVIATION AUTH.,CHARLESTON AIRPORT - A CONCORD,5500 INTERNATIONAL BLVD,CHARLESTON,SC,29418,CHARLESTON,Active,2019-06-27 00:00:00.0000000,,Hydraulic,OTHER,Passenger,2018-10-05 09:39:16.6592811 +00:00,2018-10-05 09:39:16.6592700 +00:00
3257,1001914,CHARLESTON FIRE DEPARTMENT,CHARLESTON FIRE DEPARTMENT,46 WENTWORTH ST,CHARLESTON,SC,29403,CHARLESTON,Temp Decom,2017-02-24 00:00:00.0000000,,Rack &amp; Pinion,AMER STAIR GLIDE,Stairway Chair Lift,2018-10-05 09:51:07.7198235 +00:00,2018-10-05 09:51:07.7198123 +00:00
3258,1001915,MT. PLEASANT HOSPITAL,HOSPITAL MOUNT PLEASANT,3500 US HWY 17 NORTH,CHARLESTON,SC,29465,CHARLESTON,Active,2019-06-29 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:29.0054905 +00:00,2018-10-05 09:51:29.0054760 +00:00
3259,1001916,MT. PLEASANT HOSPITAL,HOSPITAL MOUNT PLEASANT,3500 HWY 17 NORTH,MT PLEASANT,SC,29466,CHARLESTON,Active,2019-06-29 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:29.7694343 +00:00,2018-10-05 09:51:29.7694166 +00:00
3260,1001917,MT. PLEASANT HOSPITAL,MT. PLEASANT HOSPITAL,3500 HWY 17 NORTH,MT PLEASANT,SC,29466,CHARLESTON,Active,2019-06-30 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:30.5664198 +00:00,2018-10-05 09:51:30.5663962 +00:00
3261,1001918,FELCOR LODGING TRUST INC.,MILLS HOUSE HOTEL,115 MEETING ST ,CHARLESTON,SC,29401,CHARLESTON,Active,2021-01-14 00:00:00.0000000,,Screw,THYSSENKRUPP ACCESS,Wheelchair Lift,2018-10-05 09:51:31.3227520 +00:00,2018-10-05 09:51:31.3227353 +00:00
3262,1001919,MT. PLEASANT HOSPITAL,MT. PLEASANT HOSPITAL,3500 HWY 17 NORTH,MT PLEASANT,SC,29466,CHARLESTON,Active,2019-06-30 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:32.0867989 +00:00,2018-10-05 09:51:32.0867877 +00:00
3263,1001920,CHARLESTON CNTY SCHOOL DISTRICT,NORTH CHARLESTON HIGH SCHOOL,1807 MONTAGUE ST,N CHARLESTON,SC,29405,CHARLESTON,Active,2019-05-21 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:32.8702753 +00:00,2018-10-05 09:51:32.8702642 +00:00
3264,1001921,JST CONTRACTING LLC,SAVANNAH SQUARE,1904 SAVANNAH HWY,CHARLESTON,SC,29407,CHARLESTON,Active,2019-10-03 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:33.6394759 +00:00,2018-10-05 09:51:33.6394249 +00:00
3265,1001922,CHARLESTON CNTY SCHOOL DISTRICT,MAMIE WHITESIDES ELEMENTARY,1565 RIFLE RANGE RD,MT PLEASANT,SC,29464,CHARLESTON,Active,2019-05-23 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ACCESS,Passenger,2018-10-05 09:51:34.4075603 +00:00,2018-10-05 09:51:34.4075433 +00:00
3266,1001923,THE TOWN AND COUNTRY INN,THE TOWN AND COUNTRY INN,2008 SAVANNAH HWY,CHARLESTON,SC,29407,CHARLESTON,Active,2018-10-16 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ACCESS,Passenger,2018-10-05 09:51:35.1879593 +00:00,2018-10-05 09:51:35.1879478 +00:00
3267,1001924,THE TOWN AND COUNTRY INN,THE TOWN AND COUNTRY INN,2008 SAVANNAH HWY,CHARLESTON,SC,29407,CHARLESTON,Active,2018-10-16 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ACCESS,Passenger,2018-10-05 09:51:35.9660297 +00:00,2018-10-05 09:51:35.9660132 +00:00
3268,1001925,CHARLESTON CNTY SCHOOL DISTRICT,ASHLEY RIVER SCHOOL,1871 WALLACE SCHOOL RD,N CHARLESTON,SC,29407,CHARLESTON,Active,2019-05-24 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:36.7868365 +00:00,2018-10-05 09:51:36.7868217 +00:00
3269,1001926,GENPAR,GENPAR,100 INNOVATION WAY,MT PLEASANT,SC,29466,CHARLESTON,Active,2018-06-29 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:37.5630832 +00:00,2018-10-05 09:51:37.5630721 +00:00
3270,1001927,GENPAR,GENPAR,100 INNOVATION WAY,MT PLEASANT,SC,29466,CHARLESTON,Temp Decom,2018-06-29 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:38.3386938 +00:00,2018-10-05 09:51:38.3386796 +00:00
3271,1001928,THE CHURCH AT LIFE PARK,THE CHURCH AT LIFE PARK,1151 GEORGE BROWDER RD,MT PLEASANT,SC,29466,CHARLESTON,Active,2018-11-09 00:00:00.0000000,,Hydraulic,AMER STAIR GLIDE,Passenger,2018-10-05 09:51:39.1089137 +00:00,2018-10-05 09:51:39.1089015 +00:00
3272,1001929,K P CAPITAL MANAGEMENT LLC,IRON BRIDGE OFFICE COMPLEX,1200 TWO ISLAND CT,MT PLEASANT,SC,29466,CHARLESTON,Active,2018-11-30 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:39.8757022 +00:00,2018-10-05 09:51:39.8756885 +00:00
3273,1001930,CHARLESTON CNTY SCHOOL DISTRICT,CENTER FOR ARTS &amp; ACADEMICS,5109 ENTERPRISE,N CHARLESTON,SC,29405,CHARLESTON,Active,2020-06-10 00:00:00.0000000,,Screw,THYSSENKRUPP ACCESS,Wheelchair Lift,2018-10-05 09:51:40.6185458 +00:00,2018-10-05 09:51:40.6185317 +00:00
3274,1001931,COLLEGE OF CHARLESTON,CATO BUILDING ,161 CALHOUN STREET,CHARLESTON,SC,29401,CHARLESTON,Active,2019-08-23 00:00:00.0000000,,Hand Operated,OTHER,Passenger,2018-10-05 09:51:41.3646656 +00:00,2018-10-05 09:51:41.3646540 +00:00
3275,1001932,CATHEDRAL OF ST. JOHN THE BAPTIST,CATHEDRAL OF ST. JOHN THE BAPTIST,120 QUEEN STREET,CHARLESTON,SC,29401,CHARLESTON,Active,2022-03-22 00:00:00.0000000,,Hydraulic,OTHER,Wheelchair Lift,2018-10-05 09:51:42.1148517 +00:00,2018-10-05 09:51:42.1148369 +00:00
3276,1001933,93 BROAD ST,93 BROAD ST,93 BROAD ST,CHARLESTON,SC,29401,CHARLESTON,Active,,,Hydraulic,OTHER,LULA,2018-10-05 09:51:42.8934005 +00:00,2018-10-05 09:51:42.8933885 +00:00
3277,1001934,MUSC FACILITIES ,MUSC CLINICAL NURSING LAB,99 JONATHAN LUCAS ST,CHARLESTON,SC,29425,CHARLESTON,Active,2018-12-19 00:00:00.0000000,,Screw,THYSSENKRUPP ACCESS,Wheelchair Lift,2018-10-05 09:51:43.6876542 +00:00,2018-10-05 09:51:43.6876416 +00:00
3278,1001935,CHARLESTON CNTY SCHOOL DISTRICT,SANDERS CLYDE SCHOOL,805 MORRISON DR,CHARLESTON,SC,29403,CHARLESTON,Active,2019-05-24 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:44.4495664 +00:00,2018-10-05 09:51:44.4495538 +00:00
3279,1001936,CB RICHARD ELLIS/ CARMODY LLC,TOMS TOYS,125 MARKET ST,CHARLESTON,SC,29401,CHARLESTON,Active,,,Rack &amp; Pinion,THYSSENKRUPP ACCESS,Stairway Chair Lift,2018-10-05 09:51:45.1804380 +00:00,2018-10-05 09:51:45.1804220 +00:00
3280,1001937,EXTRA SPACE,EXTRA SPACE,2118 HERIOT ST,CHARLESTON,SC,29403,CHARLESTON,Active,2019-07-18 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:45.9068522 +00:00,2018-10-05 09:51:45.9068283 +00:00
3281,1001938,EXTRA SPACE,EXTRA SPACE,2118 HERIOT ST,CHARLESTON,SC,29403,CHARLESTON,Active,2019-07-18 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 09:51:46.6818828 +00:00,2018-10-05 09:51:46.6818645 +00:00
3282,1001939,COUNTY OF CHARLESTON,CHARLESTON CNTY DETENTION CTR - ELEVATOR #1,3884 LEEDS AVENUE,N CHARLESTON,SC,29405,CHARLESTON,Active,2018-02-07 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ACCESS,Passenger,2018-10-05 09:51:47.4438263 +00:00,2018-10-05 09:51:47.4438125 +00:00
3283,1001940,COUNTY OF CHARLESTON,CHARLESTON COUNTY DETENTION CENTER,3884 LEEDS AVE,N CHARLESTON,SC,29405,CHARLESTON,Active,2019-02-08 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ACCESS,Passenger,2018-10-05 09:51:48.2415657 +00:00,2018-10-05 09:51:48.2415523 +00:00
3284,1001941,COUNTY OF CHARLESTON,CHARLESTON COUNTY DETENTION CENTER,3884 LEEDS AVE,N CHARLESTON,SC,29405,CHARLESTON,Active,2019-02-08 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ACCESS,Passenger,2018-10-05 09:51:48.9938683 +00:00,2018-10-05 09:51:48.9938524 +00:00
